Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude, Contact.No.1, Contact.No.2, Contact.No.3, Contact.No.4, Contact.No.5, Contact.No.6, Contact.No.7
772,BGS Global Hospitals Blood Bank,Karnataka,BENGALURU RURAL,Kengeri,"No. 67, Uttarahalli Road",560060,080 26255555,9535408623,,,,,Dr. Annapurna Ramesh,080 26255555,9535408623,drannapurana@bgsglobalhospitalsindia.com,Medical officer,Private,YES,NO,24X7,KTK/28C-211/ 2007,31-03-2008,2018,12.911276,77.486216,080 26255555,,,,,,
773,Harsha Hospital Blood Bank,Karnataka,BENGALURU RURAL,Nelamangala,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Bengaluru.",562123,080 27723695 (Not in use),,,,,,,,,,,Private,NO,NO,24X7,KTK/28C-194/ 2006,6/2/2007,2017,13.097983,77.38581,080 27723695 (Not in use),,,,,,
774,Narayana Hrudayalaya Blood Bank,Karnataka,BENGALURU URBAN,Anekal Taluk,"University Medical Centre, (KMC) Hospital",560099,080 27835000 ,9901200440,,,,,Dr.Girish,8884416540,9972034266,girish.cj.dr@nhhospitals.org,MD Transfusion Medicine,Private,YES,YES,24X7,,,,12.80927,77.695173,080 27835000 ,,,,,,
775,Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",560051,080 2286 6529,9481520707,,,,,Dr. Meenakshi Patil,080 2286 6529,9481520707,meenakshispatil@gmail.com,MBBS,Government,NO,NO,24X7,KTK/28C-283/15,29-05-2015,28-05-2020,12.987532,77.604913,080 2286 6529,,,,,,
776,Swamy Vivekananda Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",560027,080 22224044,9343773931,,,vivekanandabloodbank@gmail.com,,Sri. K. Vishal Yadav,080 22224044,9343773931,vivekanandabloodbank@gmail.com,Lab technician,Private,YES,NO,24X7,KTK/28C-275/14,22-09-2014,21-09-2019,12.9649846,77.589012,080 22224044,,,,,,
777,M/s. Aster CMI Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bangalore,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",560092,080 43420213,9844844708,080 4342 0100,,info@asterbangalore.com,http://asterbangalore.com/,Dr. Sridhar Murthy,080 43420213,9844844708,,Pathologist,Private,YES,NO,24X7,KTK/28C-288/15,7/4/2015,7/3/2020,13.054677,77.592504,080 43420213,,,,,,
778,M/s. East Point Hospital Blood Bank Virgonagar,Karnataka,BENGALURU URBAN,Bangalore,"East Point college of Medical Sciences&Hospital, Janana Prabha Campus, Bidarahalli",560049,080 25136246,9916865999,,080 25073903,,http://www.eastpoint.ac.in/,Dr. Sunitha,080 25136246,8147732899,centralab@eastpoint.ac.in,,Private,YES,NO,24X7,KTK/28C-284/15,3/6/2015,2/6/2020,13.053662,77.717912,080 25136246,,,,,,
779,Unique Blood Bank & Diagnostic Centre,Karnataka,BENGALURU URBAN,Bangalore,"1st floor,S.L.N.Complex, City Market Square",560002,080 2600685,9448216553,,,uniquebb92@gmail.com,,Mr. Suresh Kumar,080 26700685,9448216553,uniquebb92@gmail.com,Lab technician,Private,NO,NO,24X7,KTK/28C-57/97,4/2/1997,12/31/2016,12.965837,77.576262,080 2600685,,,,,,
780,SHUSHRUTHA VOLUNTARY BLOOD BANK,Karnataka,BENGALURU URBAN,Bangalore,"The Blood Bank Medical officer
Sushrutha Voluntary Blood Bank,
No:875,Modi Hospital Road,  Near Pristine Hospital",560 086,080 23230777,8951853537,,,,,Dr.Rama Raja Gupta,,9880271244,svbb2016@gmail.com,MD pathology,Private,NO,2,24X7,KTK/28C-300/2015,22/04/2015,21/04/2020,12.9978842,77.5411603,080 23230777,,,,,,
781,Bengaluru Blood Bank and Diagnostic Laboratory,Karnataka,BENGALURU URBAN,Bengaluru,"Between 6th and 7th Cross, Opposite R.R.Gold Palace, Sampige Road,Malleshwaram",500003,080 23347714,9886747992,,,,,"Smt Gayathri C	",080 23347714,9886747992,chandrakant.bloodbank@yahoo.co.in,DMLT,Private,YES,NO,24x7,KTK/28C/1/94,26-08-1994,31-12-2016,12.998074,77.571614,080 23347714,,,,,,
782,Bengaluru Rotary TTK Medical Service Trust Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"New Thippasandra Main Road, HAL III Stage",560075,080 25293486/ 9900153000/ 9900163000,9740594251,,,,http://www.bmstindia.org/,Dr. Ankith mathur,"08025287903	",97405942510,admin@bmstindia.org,Transfusion Medicine Specialist,Private,YES,YES,24x7,KTK/28C-7/95,1995,30-12-2017,12.99807,77.580434,080 25293486/ 9900153000/ 9900163000,,,,,,
783,KIMS Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"K. R. Road, Visveswarapuram,Near Makkala Koota Bus Stop",560004,080 26613225,9448559664,,9180 26712798 ,,http://www.kimsbangalore.edu.in/hospital.html,Dr. Venkatesh Prasad,8798765432,9448559664,bngkims@kar.nic.in.,Medical Officer,Private,YES,NO,24x7,KTK/28C-8/95,11/9/1995,30-12-2017,12.956353,77.574114,080 26613225,,,,,,
784,Bangalore Baptist Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Bellary Road, Hebbal",560024,080 22024700,9480424340,,,,http://www.bbh.org.in/,Dr. Neena John,"08022024324	",9480424340,pathology@bbh.org.in,Pathologist,Private,YES,NO,24x7,KTK/28C-14/96,2/9/1996,30-12-2017,13.035289,77.589935,080 22024700,,,,,,
785,Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Jayanagar East, Byrasandra",560011,080 26564516,9036586966,,,,http://www.sgito.org,Dr. Shanthi Jyothi,080 26564516,9916242438,bngu.sanjayagandhihospital.bb@gmail.com,Medical Officer,Government,NO,NO,24x7,KTK/28C-16/96,8/1/1997,30-12-2017,12.935769,77.593859,080 26564516,,,,,,
786,Victoria Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Fort Road, Bengaluru",560002,080 26700001,9591497657,,080 26703267.,,http:/victoriahospitalbangalore.org,Dr. R. Sreelatha,080 26701150,95914976570,panch2001@yahoo.com,Medical Officer,Government,YES,NO,24x7,KTK/28C-18/96,28-10-1996,30-12-2016,12.963399,77.573818,080 26700001,,,,,,
787,M. S. Ramaiah Medical Teaching Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Gokul Extension,560054,080 22183100,9845120603,,,,,Dr. Nanda Kishore V,080 22183100,9845120603,,Medical Officer,Private,YES,YES,24x7,KTK/28C-26/96,4/12/1996,31-11-2016,13.030487,77.566648,080 22183100,,,,,,
788,Saint Martha&#39;s Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Nrupatunga Road,560001,080 40128243,9686452704,,,,,Dr. Anitha Ramakrishnan,080 4012843,9686452704,stmarthaslab@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-27/96,1/1/1996,30-11-2016,12.970679,77.586085,080 40128243,,,,,,
789,Kidwai Memorial Institute of Oncology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Dr. M.H.Marigowda  Road,560029,080 26094082,99869900040,,091080 6560723,,http://www.kmio.org,Dr. Deepa S.Anand,"08026094082	","09986990040	",bngu.kidwai.bb.@gmail.com,Medical Officer,Government,YES,NO,24x7,KTK/28C-32/97,1/1/1997,Pending,12.93759,77.598537,080 26094082,,,,,,
790,Transfusion Medicine Centre Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,NIMHANS Hosur Road,560029,"080 26995435, 080 26995436, 080 26995437",080 26995435,,,,http://www.nimhans.ac.in,Mr. Shivanna,080 26995435,080 26995435,Shivannan71@gmail.com,DMLT,Government,YES,YES,24x7,KTK/28C-33/97,12/2/1997,30-12-2017,12.94039,77.59883,080 26995435, 080 26995436, 080 26995437,,,,
791,St. John&#39;s Medical College Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sarjapur Road, Bengaluru",,080 22065045,9591990365,,,,http://www.stjohns.in,Dr. Sitalaksmi,"080 22065181	",9591990365,slvbs@yahoo.co.in,Pathologist,Private,YES,YES,24x7,KTK/28C-35/97,1/1/1996,31.12.2011 (Pending),12.929482,77.620182,080 22065045,,,,,,
792,Mallya Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.2, Vittal Mallya Road",560001,"080 22277979	",9845043017,,9180 22121282,,http://www.mallyahospital.net,Dr SUDHINDRA SG,"08022277979	",9845043017,ss_964@rediffmail.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-36/97,3/3/1997,30-12-2017,12.968063,77.595068,"080 22277979	",,,,,,
793,Hindustan Aeronautics Limited - HAL Hospital Blood Bank ,Karnataka,BENGALURU URBAN,Bengaluru,"Suranjandas Road, Near HAL Airport, Vimanapura",560017,080 22314632   ,9845347978,,,,http://www.hal-india.com,Dr. Sindha Thomas,080 25434581,9845347978,bngu.hal.bb@gmail.com,Medical Officer,Government,NO,NO,24x7,KTK/28C-45/97,22-03-1997,30-12-2017,12.962447,77.665284,080 22314632   ,,,,,,
794,Saint Philomena Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.1, Nilsandra Road",560047,080 40164348 ,9916065305,,,,,Sr. Daisy,080 40164348 ,9916065305,philomenabloodbank@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-47/97,26-03-1997,30-12-2017,12.965428,77.610476,080 40164348 ,,,,,,
795,K. C. General Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Malleshwaram,560003,080 23343791,8722604100,,,,,Dr. Shantha Hosamani,080 23343791,8722604100,bloodbankkcg@gmail.com,Pathologist,Government,NO,NO,,KTK/28C-48/97,26-03-1997,30-12-2017,12.996389,77.56931,080 23343791,,,,,,
796,Command Hospital Blood Bank Air Force,Karnataka,BENGALURU URBAN,Bengaluru,"Old Airport Road, Near Cambridge Layout, Domlur Village, Post Agram",560007,080 25234632,9663865587,,,,http://www.afmc.nic.in/,Dr. W. V. Tiwari,080 25234632,9663865587,commandobloodbank.bngu@gmail.com,Medical Officer,Government,YES,NO,24x7,KTK/28C-53/97,31-03-1997,30-12-2017,12.963321,77.62882,080 25234632,,,,,,
797,E.S.I.Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Rajajinagar,560010,080 23013808,9945343990,,,,,Dr. Brilsee Simeon,080 23013808,9945343990,dr.brilsee.simeon@esic.in,Pathologist,Government,NO,NO,24X7,KTK/28C-60/97,1/1/1996,30-12-2017,12.990775,77.553498,080 23013808,,,,,,
798,Rashtrotthana Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"93/2 Keshava Shilpa 1st Mn Road, Kempegowda Nagar ",560019,080 26610916,9480436702,,,,,Dr. Sumithra P,080 26610916,9480436702,rbloodbank@gmail.com,Pathologist,Private,YES,YES,24X7,KTK/28C-61/97,15.02.1997,30.12.2016,12.954814,77.565362,080 26610916,,,,,,
799,Dr. B. R.Ambedkar Medical College Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"K.G.Halli, Bengaluru",560045,080 25463442,9980155789,,,,http://www.bramc.org,Dr. Nirmala B.G,080 25463442,9980155789,drbgn@yahoo.co.in,Medical Officer,Private,NO,NO,24x7,KTK/28C-111/2000,17-05-2000,30-12-2016,13.025275,77.614217,080 25463442,,,,,,
800,Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.45, Magrath Road, Off. Richmond Road",560023,080 25593796,8050780930,,9180 25593798,,http://www.hosmatnet.com,Mr. Johnson,080 25543797.,8050780930,mail@hosmatnet.com,DMLT,Private,NO,NO,24x7,KTK/28C-113/2000,3/6/2000,30-11-2016,12.969035,77.61346,080 25593796,,,,,,
801,Grace Blood Bank and Laboratory,Karnataka,BENGALURU URBAN,Bengaluru,"2, 10th Cross, Ganganagar, Bengaluru",560032,080 23431233 ,9740330720,,,,,Mr. B. Shri Krishnappa,080 23431233 ,9740330720,bngu.grace.bb@gmail.com,DMLT,Private,NO,NO,24x7,KTK/28C-123/2000,12/9/2000,30-11-2016,13.026155,77.588859,080 23431233 ,,,,,,
802,Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"EPIP Area, Whitefield",560066,"080 28411500, 080 28004600 ",9741597101,,9180 28411503,,https://wfd.sssihms.org.in/,Dr. Neha,080 28411500 ,97415971010,laboratoryblr@sssihms.org.in,Medical Officer,Private,YES,NO,24x7,KTK/28C-125/2001,1/1/2001,30-12-2017,12.981135,77.729224,080 28411500, 080 28004600 ,,,,,
803,Navarang Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.2953, Ist Floor, Near Navarang Circle, M.K.K.Road, 
Rajaji Nagar, ",560010,080 23521233 ,9844111233,,,,,Dr. Shamsundar,080 23521233 ,9844111233,bngu.navaranga.bb@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-131/2001,11/6/2001,31-11-2017,12.9982,77.551623,080 23521233 ,,,,,,
804,Bangalore Lions Service Trust - Lions Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",560052,080 22266807,9845315670,,,,,Sri M B Deepak Suman,080 22266807,9845315670,lionsbloodbank@airtelmail.in,DMLT,Charity,YES,NO,24x7,KTK/28C-137/2001,18-09-2001,PENDING,12.989645,77.592754,080 22266807,,,,,,
805,Sri Jayadeva Institute of Cardiology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Gurappanapaly Post, Banneraghatta Road",560069,080 22977213,9886812718,,,,,Dr. Uma Devi K,080 22977213,9886812718,nanduma64@gmail.com,Medical Officer,Government,YES,NO,24x7,KTK/28C-143/2002,18-01-2001,Pending,12.917957,77.599329,080 22977213,,,,,,
806,Vydehi Institute of Medical Science Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"EPIP AREA, 06 WHITE FIELD",560066,080 28410874 ,9916749060,,,,,Dr. Syed Kabber Ahmed,080 28410874,9916749060,soslekabeer@hotmail.com,Medical officer,Private,YES,YES,24x7,KTK/28C-145/2001,28-02-2002,26-02-2017,12.975378,77.72927,080 28410874 ,,,,,,
807,Akshay Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 968, 2nd Floor, 41st Cross, 3rd Block. Opposite E.S.I. Hospital, Rajajinagar",560070,080 23147303,9448084990,,,,,"Dr, Keshava Murthy G. M.",080 23147303,9448084990,akshaybb02@gmail.com,Medical Officer,Charity,YES,NO,24x7,KTK/28C-146/2002,14-12-2002,13-12-2016,12.989853,77.552805,080 23147303,,,,,,
808,Bowring and Lady Curzon Hospitals Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Shivaji Nagar, Bengaluru",560051,080 25591362,9449621169,,,,http://www.bowringhospital.org,Dr. Zaheer,080 25327714,9449621169,blchbloodbank42@gmail.com,Medical Officer,Government,NO,NO,24x7,KTK/28C-157/2003,1/4/2003,31-03-2018,12.982165,77.604276,080 25591362,,,,,,
809,Kempegowda Medical Service Trust - Millennium Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwanthpur, Bengaluru",560022,080 23571001,9972111552,,,,,"Dr. Narasingappa	",080 23571001,9972111552,kempegowdamst@gmail.com,,Private,NO,NO,24x7,KTK/28C-159/2003,8/8/2003,17-04-2016,13.019584,77.557981,080 23571001,,,,,,
810,S. K. Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"14/1,I Floor, MESA Complex, Old Tolgate Bus Stop, 
Magadi Main Road",560023,080 23103524 ,9341273805,,,,,Mr. Sri Ravi N M ,080 23103524 ,9341273805,bngu.skvoluntarybb@gmail.com,DMLT,Private,YES,NO,24x7,KTK/28C-161/2003,5/7/2003,3/7/2018,12.974445,77.549288,080 23103524 ,,,,,,
811,Indira Gandhi Child Institute of Health Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"South Hospital Complex, Dharamaram College Post",560029,080 22443143,9448032867,,080 26541799,,http://www.igch.org/,Dr. Pradeep R,080 22443143,9448032867,igibloodbank@gmail.com,Medical Officer,Government,YES,NO,24x7,KTK/28C-169/2004,23-03-2004,22-03- 2014 (Pending at DCGI),12.937319,77.592016,080 22443143,,,,,,
812,Rajarajeshwari Medical College Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"5th Cross, Mysore Road, New Guddadahalli",560074,080 65666768 ,9845128072,,,,,Dr. Latha V,080 65666768 ,9845128072,bloodbank@rrmch.org,Medical Officer,Private,YES,YES,24x7,KTK/28C-173/2004,21-10-2004,9/2/2019,12.896508,77.46166,080 65666768 ,,,,,,
813,Sanjeevini Trust Jayanagar Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"1897/A, Cellar Floor, Gulora, 26th Main Road, Sount End Cross Road, 9th Block, Jayanagar",560069,080 26494748 ,9342171911,,,,,Dr. Venugopal,080 26494748 ,9342171911,jayanagarbloodbank24hrs@gmail.com,Medical Officer,Charity,YES,NO,24x7,KTK/28C-177/2005,24-02-2005,23-02-2015,12.9157415,77.5909561,080 26494748 ,,,,,,
814,Sri Vinayaka Charitable Trust  Jeeva Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 23 and 84, Sharoff Basappa Commercial Complex, 2nd Main, Ist Cross, New Tharugpet",560002,080 25990583,9845801539,,,,,Dr. Ravi Shankar,080 25990583,9845801539,jvbb02@gmail.com,Medical Officer,Charity,YES,NO,24x7,KTK/28C-182/2005,25-06-2005,23-03-2015,12.961633,77.571067,080 25990583,,,,,,
815,Indian Red Cross Society - Karnataka Red Cross Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru",560001,080 22268435,9902859859,,,,http://www.redcrosskarnataka.org,Dr. Arpitha Desai,080 22268435,9902859859,ircskar@vsnl.net,Medical Officer,Charity,YES,NO,24x7,KTK/28C-187/2006,9/8/2006,7/8/2016,12.984218,77.578831,080 22268435,,,,,,
816,Apollo Hospitals (Imperial Cancer Hospital and Research Centre) Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Apollo Hospitals a unit of Imperial Cancer Hospital and Research Centre Limited, 154/11, Opp.I.I.M Bannerghatta Road",560076,080 26304050 / 51,9945683872,,080 41463151,,http://www.apollohospitalsbangalore.com,Dr. Geetha Gowdar,080 26304050,9845926164,jagstarl@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-190/2006,14-12-2006,12/12/2016,12.89643,77.598015,080 26304050 / 51,,,,,,
817,Vijayanagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 27, 17th Cross, M.C. Layout, Vijayanagar",560040,080 23358800,9901155344,,,vijayanagarabloodbank@gmail.com,,Dr. Sushil Inamdar,080 23358800,9901155344,vijayanagarabloodbank@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-193/ 2007,6/2/2007,6/1/2017,12.969227,77.536519,080 23358800,,,,,,
